# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-2 2 5 ff9800
-1 2 5 ff9800
-2 3 5 ff9800
-1 3 5 ff9800
-2 4 5 ff9800
-1 4 5 ff9800
-2 5 5 ff9800
-1 5 5 ff9800
-2 6 5 ff9800
-1 6 5 ff9800
-2 0 6 ff9800
-1 0 6 ff9800
-3 1 6 ff9800
-2 1 6 ff9800
-1 1 6 ff9800
-3 2 6 ff9800
-2 2 6 ff9800
-1 2 6 ff9800
-4 3 6 ff9800
-3 3 6 ff9800
-2 3 6 ff9800
-1 3 6 ff9800
-4 4 6 ff9800
-3 4 6 ff9800
-2 4 6 ff9800
-1 4 6 ff9800
-4 5 6 ff9800
-3 5 6 ff9800
-2 5 6 ff9800
-1 5 6 ff9800
-3 6 6 ff9800
-2 6 6 ff9800
-1 6 6 ff9800
-3 7 6 ff9800
-2 7 6 ff9800
-1 7 6 ff9800
-1 8 6 ff9800
-4 0 7 ff9800
-3 0 7 ff9800
-2 0 7 ff9800
-1 0 7 ff9800
-4 1 7 ff9800
-3 1 7 ff9800
-2 1 7 ff9800
-1 1 7 ff9800
-5 2 7 ff9800
-4 2 7 ff9800
-3 2 7 ff9800
-2 2 7 ff9800
-1 2 7 ff9800
-5 3 7 ff9800
-4 3 7 ff9800
-3 3 7 ff9800
-2 3 7 ff9800
-1 3 7 ff9800
-5 4 7 ff9800
-4 4 7 ff9800
-3 4 7 ff9800
-2 4 7 ff9800
-1 4 7 ff9800
-5 5 7 ff9800
-4 5 7 ff9800
-3 5 7 ff9800
-2 5 7 ff9800
-1 5 7 ff9800
-5 6 7 ff9800
-4 6 7 ff9800
-3 6 7 ff9800
-2 6 7 ff9800
-1 6 7 ff9800
-4 7 7 ff9800
-3 7 7 ff9800
-2 7 7 ff9800
-1 7 7 ff9800
-4 8 7 ff9800
-3 8 7 ff9800
-2 8 7 ff9800
-1 8 7 ff9800
-2 9 7 ff9800
-1 9 7 ff9800
-5 0 8 ff9800
-4 0 8 ff9800
-3 0 8 ff9800
-2 0 8 ff9800
-1 0 8 ff9800
-5 1 8 ff9800
-4 1 8 ff9800
-3 1 8 ff9800
-2 1 8 ff9800
-1 1 8 ff9800
-6 2 8 ff9800
-5 2 8 ff9800
-4 2 8 ff9800
-3 2 8 ff9800
-2 2 8 ff9800
-1 2 8 ff9800
-6 3 8 ff9800
-5 3 8 ff9800
-4 3 8 ff9800
-3 3 8 ff9800
-2 3 8 ff9800
-1 3 8 ff9800
-6 4 8 ff9800
-5 4 8 ff9800
-4 4 8 ff9800
-3 4 8 ff9800
-2 4 8 ff9800
-1 4 8 ff9800
-6 5 8 ff9800
-5 5 8 ff9800
-4 5 8 ff9800
-3 5 8 ff9800
-2 5 8 ff9800
-1 5 8 ff9800
-6 6 8 ff9800
-5 6 8 ff9800
-4 6 8 ff9800
-3 6 8 ff9800
-2 6 8 ff9800
-1 6 8 ff9800
-5 7 8 ff9800
-4 7 8 ff9800
-3 7 8 ff9800
-2 7 8 ff9800
-1 7 8 ff9800
-5 8 8 ff9800
-4 8 8 ff9800
-3 8 8 ff9800
-2 8 8 ff9800
-1 8 8 ff9800
-4 9 8 ff9800
-3 9 8 ff9800
-2 9 8 ff9800
-1 9 8 ff9800
-2 10 8 ff9800
-1 10 8 ff9800
-6 0 9 ff9800
-5 0 9 ff9800
-4 0 9 ff9800
-3 0 9 ff9800
-2 0 9 ff9800
-1 0 9 ff9800
-6 1 9 ff9800
-5 1 9 ff9800
-4 1 9 ff9800
-3 1 9 ff9800
-2 1 9 ff9800
-1 1 9 ff9800
-7 2 9 ff9800
-6 2 9 ff9800
-5 2 9 ff9800
-4 2 9 ff9800
-3 2 9 ff9800
-2 2 9 ff9800
-1 2 9 ff9800
-7 3 9 ff9800
-6 3 9 ff9800
-5 3 9 ff9800
-4 3 9 ff9800
-3 3 9 ff9800
-2 3 9 ff9800
-1 3 9 ff9800
-7 4 9 ff9800
-6 4 9 ff9800
-5 4 9 ff9800
-4 4 9 ff9800
-3 4 9 ff9800
-2 4 9 ff9800
