# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-10 0 13 fa0c21
-9 0 13 f3a4a4
-8 0 13 f3a4a4
-9 1 13 fa0c21
-13 0 14 668a37
-10 0 14 fa0c21
-9 0 14 f3a4a4
-8 0 14 f3a4a4
-12 1 14 668a37
-11 1 14 668a37
-9 1 14 fa0c21
-10 2 14 668a37
-14 0 15 668a37
-13 0 15 668a37
-12 0 15 4b6535
-11 0 15 96282f
-10 0 15 fa0c21
-9 0 15 f3a4a4
-8 0 15 f3a4a4
-7 0 15 fa0c21
-13 1 15 4b6535
-12 1 15 668a37
-11 1 15 668a37
-10 1 15 962831
-9 1 15 fa0c21
-8 1 15 fa0a21
-13 2 15 668a37
-12 2 15 4b6535
-11 2 15 668a37
-10 2 15 668a37
-9 2 15 962831
-13 3 15 668a37
-12 3 15 668a37
-1 -11 13 fa0c21
-3 -10 13 fa0a21
-2 -10 13 fa0a21
-1 -10 13 fa0c21
-5 -9 13 c6292d
-4 -9 13 fa0a21
-3 -9 13 fa0c21
-2 -9 13 fa0c21
-1 -9 13 fa0c21
-6 -8 13 c6292d
-5 -8 13 fa0c21
-4 -8 13 fa0c21
-3 -8 13 fa0c21
-2 -8 13 fa0c21
-1 -8 13 fa0c21
-7 -7 13 c6292d
-6 -7 13 fa0c21
-5 -7 13 fa0c21
-4 -7 13 fa0c21
-3 -7 13 fa0c21
-2 -7 13 fa0c21
-1 -7 13 fa0a21
-8 -6 13 c6292d
-7 -6 13 fa0c21
-6 -6 13 fa0c21
-5 -6 13 fa0c21
-4 -6 13 fa0c21
-3 -6 13 fa0c21
-2 -6 13 fa0a21
-9 -5 13 c6292d
-8 -5 13 fa0c21
-7 -5 13 fa0c21
-6 -5 13 fa0c21
-5 -5 13 fa0c21
-4 -5 13 fa0c21
-3 -5 13 fa0c21
-10 -4 13 c6292d
-9 -4 13 fa0a21
-8 -4 13 fa0c21
-7 -4 13 fa0c21
-6 -4 13 fa0c21
-5 -4 13 fa0c21
-4 -4 13 fa0c21
-11 -3 13 c6292d
-10 -3 13 fa0c21
-9 -3 13 fa0a21
-8 -3 13 fa0c21
-7 -3 13 fa0c21
-6 -3 13 fa0c21
-5 -3 13 f3a4a4
-12 -2 13 c6292d
-11 -2 13 fa0c21
-10 -2 13 fa0c21
-9 -2 13 fa0a21
-8 -2 13 fa0a21
-7 -2 13 f3a4a4
-6 -2 13 f3a4a4
-11 -1 13 fa0c21
-10 -1 13 fa0c21
-9 -1 13 f3a4a4
-8 -1 13 f3a4a4
-7 -1 13 f3a4a4
-1 -11 14 fa0c21
-3 -10 14 fa0a21
-2 -10 14 fa0a21
-1 -10 14 fa0c21
-5 -9 14 c6292d
-4 -9 14 fa0a21
-3 -9 14 fa0c21
-2 -9 14 fa0c21
-1 -9 14 fa0c21
-6 -8 14 c6292d
-5 -8 14 fa0c21
-4 -8 14 fa0c21
-3 -8 14 fa0c21
-2 -8 14 fa0c21
-1 -8 14 fa0c21
-7 -7 14 c6292d
-6 -7 14 fa0c21
-5 -7 14 fa0c21
-4 -7 14 fa0c21
-3 -7 14 fa0c21
-2 -7 14 fa0c21
-1 -7 14 fa0a21
-8 -6 14 c6292d
-7 -6 14 fa0c21
-6 -6 14 fa0c21
-5 -6 14 fa0c21
-4 -6 14 fa0c21
-3 -6 14 fa0c21
-2 -6 14 fa0a21
-9 -5 14 c6292d
-8 -5 14 fa0c21
-7 -5 14 fa0c21
-6 -5 14 fa0c21
-5 -5 14 fa0c21
-4 -5 14 fa0c21
-3 -5 14 fa0c21
-10 -4 14 c6292d
-9 -4 14 fa0a21
-8 -4 14 fa0c21
-7 -4 14 fa0c21
-6 -4 14 fa0c21
-5 -4 14 fa0c21
-4 -4 14 fa0c21
-11 -3 14 c6292d
-10 -3 14 fa0c21
-9 -3 14 fa0a21
-8 -3 14 fa0c21
-7 -3 14 fa0c21
-6 -3 14 fa0c21
-5 -3 14 f3a4a4
-12 -2 14 c6292d
-11 -2 14 fa0c21
-10 -2 14 fa0c21
